28, I , 186144           , 134014497    , 134015385    ,12318454,NULL,NULL,NULL, 2 SOUTH MOA ,NULL,NULL,NULL,NULL, RENDALL , ORKNEY , KW17 2PB , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 26.11.2008 ,NULL, 22.12.2010 , 26.11.2008 
28, I , 186151           , 134009665    , 134015388    ,52422432,NULL,NULL,NULL, 1 MOUNT PLEASANT CARAVANS ,NULL,NULL,NULL,NULL, WESTRAY , ORKNEY , KW17 2DH , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 22.12.2010 , 30.10.2006 
28, I , 186158           , 134014357    , 134015393    ,50731248,NULL,NULL,NULL, 1 SEAVIEW ,NULL,NULL,NULL,NULL, WESTRAY , ORKNEY , KW17 2DH , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 14.11.2008 ,NULL, 22.12.2010 , 14.11.2008 
28, I , 186165           , 134014358    , 134015393    ,12316930,NULL,NULL,NULL, 2 SEAVIEW ,NULL,NULL,NULL,NULL, WESTRAY , ORKNEY , KW17 2DH , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 14.11.2008 ,NULL, 22.12.2010 , 14.11.2008 
28, I , 186175           , 134003014    , 134015400    ,12317378,NULL,NULL,NULL, 2 EDENMORE VILLA ,NULL,NULL, MAITLAND PLACE ,NULL, FINSTOWN , ORKNEY , KW17 2EQ , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 17.01.2011 , 30.10.2006 
28, I , 186182           , 134003015    , 134015400    ,12317377,NULL,NULL,NULL, 1 EDENMORE VILLA ,NULL,NULL, MAITLAND PLACE ,NULL, FINSTOWN , ORKNEY , KW17 2EQ , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 17.01.2011 , 30.10.2006 
28, I , 186192           , 134002680    ,NULL,12319159,NULL,NULL,NULL, FERNBANK ,NULL,NULL,NULL,NULL, ORPHIR , ORKNEY , KW17 2RB , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 26.08.2009 , 30.10.2006 
28, I , 186199           , 134002681    ,NULL,12319151,NULL,NULL,NULL, CATABRIA ,NULL,NULL,NULL,NULL, ORPHIR , ORKNEY , KW17 2RB , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 26.08.2009 , 30.10.2006 
28, I , 186206           , 134002682    ,NULL,12319173,NULL,NULL,NULL, KIRKJUVAGR ,NULL,NULL,NULL,NULL, ORPHIR , ORKNEY , KW17 2RB , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 26.08.2009 , 30.10.2006 
28, I , 186213           , 134002689    ,NULL,12319204,NULL,NULL,NULL, THE VALLEY ,NULL,NULL,NULL,NULL, ORPHIR , ORKNEY , KW17 2RB , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 23.03.2013 ,NULL, 23.03.2013 , 23.03.2013 
28, I , 186220           , 134002691    ,NULL,12319165,NULL,NULL,NULL, HIGH BRECK ,NULL,NULL,NULL,NULL, ORPHIR , ORKNEY , KW17 2RB , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 23.03.2013 ,NULL, 23.03.2013 , 23.03.2013 
28, I , 186227           , 134002692    ,NULL,12319180,NULL,NULL,NULL, MUIRDENE ,NULL,NULL,NULL,NULL, ORPHIR , ORKNEY , KW17 2RB , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 26.08.2009 , 30.10.2006 
28, I , 186234           , 134002696    ,NULL,12319203,NULL,NULL,NULL, SWANBISTER HOUSE ,NULL,NULL,NULL,NULL, ORPHIR , ORKNEY , KW17 2RB , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 26.08.2009 , 30.10.2006 
28, I , 186241           , 134002697    ,NULL,12319169,NULL,NULL,NULL, KARINGAL ,NULL,NULL,NULL,NULL, ORPHIR , ORKNEY , KW17 2RB , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 26.08.2009 , 30.10.2006 
28, I , 186248           , 134002699    ,NULL,12319156,NULL,NULL,NULL, DAISY COTTAGE ,NULL,NULL,NULL,NULL, ORPHIR , ORKNEY , KW17 2RB , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 29.08.2011 , 30.10.2006 
28, I , 186255           , 134002704    ,NULL,12319154,NULL,NULL,NULL, THE COTT ,NULL,NULL,NULL,NULL, ORPHIR , ORKNEY , KW17 2RB , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 26.08.2009 , 30.10.2006 
28, I , 186262           , 134002707    ,NULL,12319166,NULL,NULL,NULL, HILLCREST ,NULL,NULL,NULL,NULL, ORPHIR , ORKNEY , KW17 2RB , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 26.08.2009 , 30.10.2006 
28, I , 100953           , 100062618270 ,NULL,24746114,NULL,NULL,NULL, THE STORES FLAT ,NULL,NULL, THE STREET ,NULL, HASTINGLEIGH , ASHFORD , TN25 5HU , S ,NULL,NULL,NULL,NULL,NULL,NULL, 24.03.2014 , 04.04.2014 , 04.04.2014 , 04.04.2014 , 04.04.2014 
28, I , 186269           , 134002711    ,NULL,12319153,NULL,NULL,NULL, CLAYPITS ,NULL,NULL,NULL,NULL, ORPHIR , ORKNEY , KW17 2RB , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 26.08.2009 , 30.10.2006 
28, I , 186276           , 134002712    ,NULL,12319201,NULL,NULL,NULL, STRATHLYNE ,NULL,NULL,NULL,NULL, ORPHIR , ORKNEY , KW17 2RB , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 26.08.2009 , 30.10.2006 
28, I , 186283           , 134002714    ,NULL,12319139,NULL,NULL,NULL, ACLA HOUSE ,NULL,NULL,NULL,NULL, ORPHIR , ORKNEY , KW17 2RB , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 26.08.2009 , 30.10.2006 
28, I , 186293           , 134002719    ,NULL,12319232,NULL,NULL,NULL, NORNS COTTAGE ,NULL,NULL,NULL,NULL, ORPHIR , ORKNEY , KW17 2RD , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 26.08.2009 , 30.10.2006 
28, I , 186300           , 134002721    ,NULL,12319209,NULL,NULL,NULL, BU FARM ,NULL,NULL,NULL,NULL, ORPHIR , ORKNEY , KW17 2RD , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 16.02.2011 , 30.10.2006 
28, I , 186307           , 134002725    ,NULL,12319149,NULL,NULL,NULL, CAIRNTON ,NULL,NULL,NULL,NULL, ORPHIR , ORKNEY , KW17 2RB , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 26.08.2009 , 30.10.2006 
28, I , 186314           , 134002726    ,NULL,12319160,NULL,NULL,NULL, FRAMAR ,NULL,NULL,NULL,NULL, ORPHIR , ORKNEY , KW17 2RB , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 26.08.2009 , 30.10.2006 
28, I , 186321           , 134002728    ,NULL,12319161,NULL,NULL,NULL, FROHNLEITHEN ,NULL,NULL,NULL,NULL, ORPHIR , ORKNEY , KW17 2RB , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 26.08.2009 , 30.10.2006 
28, I , 186328           , 134002731    ,NULL,12319158,NULL,NULL,NULL, FAIRVIEW ,NULL,NULL,NULL,NULL, ORPHIR , ORKNEY , KW17 2RB , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 26.08.2009 , 30.10.2006 
28, I , 186335           , 134002733    ,NULL,12319171,NULL,NULL,NULL, KENEVA ,NULL,NULL,NULL,NULL, ORPHIR , ORKNEY , KW17 2RB , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 26.08.2009 , 30.10.2006 
28, I , 186342           , 134002735    ,NULL,12319167,NULL,NULL,NULL, INKSTER COTTAGE ,NULL,NULL,NULL,NULL, ORPHIR , ORKNEY , KW17 2RB , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 26.08.2009 , 30.10.2006 
28, I , 186349           , 134002736    ,NULL,12319416,NULL,NULL,NULL, CROOKSTEETHS ,NULL,NULL, PETTICOAT LANE ,NULL, ORPHIR , ORKNEY , KW17 2RP , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 26.08.2009 , 30.10.2006 
28, I , 186356           , 134002737    ,NULL,12319415,NULL,NULL,NULL, BURNSIDE ,NULL,NULL, PETTICOAT LANE ,NULL, ORPHIR , ORKNEY , KW17 2RP , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 26.08.2009 , 30.10.2006 
